speaker,date,vid.title,vid.url,vid.youtubeid,vid.id,id
Obama,2012-09-12,"Barack Obama Campaign Rally in Las Vegas, Nevada - September 12 2012",http://electad.com/video/barack-obama-campaign-rally-in-las-vegas-nevada-september-12-2012/,vLUcT-iE5jQ,ID_79,Obama_20120912_speech1
Obama,2012-09-13,"Barack Obama Campaign Rally in Golden, Colorado - September 13 2012",http://electad.com/video/barack-obama-campaign-rally-in-golden-colorado-september-13-2012/,ujoduLixTbU,ID_77,Obama_20120913_speech1
Obama,2012-09-17,"Barack Obama Campaign Rally in Cincinnati, Ohio - September 17 2012",http://electad.com/video/barack-obama-campaign-rally-in-cincinnati-ohio-september-17-2012/,2a_DK5zwuNo,ID_75,Obama_20120917_speech1
Obama,2012-09-17,"Barack Obama Campaign Rally in Columbus, Ohio - September 17 2012",http://electad.com/video/barack-obama-campaign-rally-in-columbus-ohio-september-17-2012/,oHrQ_hHa93s,ID_74,Obama_20120917_speech2
Obama,2012-09-21,"Barack Obama Campaign Rally in Woodbridge, Virginia - September 21 2012",http://electad.com/video/barack-obama-campaign-rally-in-woodbridge-virginia-september-21-2012/,XXvIuAcHB64,ID_69,Obama_20120921_speech1
Obama,2012-09-22,"Barack Obama Campaign Rally in Milwaukee, Wisconsin - September 22 2012",http://electad.com/video/barack-obama-campaign-rally-in-milwaukee-wisconsin-september-22-2012/,7a0Gn_MmF_k,ID_67,Obama_20120922_speech1
Obama,2012-09-25,"President Obama Addresses the Clinton Global Initiative Convention in New York, NY - September 25 2012",http://electad.com/video/president-obama-addresses-the-clinton-global-initiative-convention-in-new-york-ny-september-25-2012/,s7zsd1U6vr0,ID_64,Obama_20120925_speech1
Obama,2012-09-27,"Barack Obama Campaign Rally in Virginia Beach, Virginia - September 27 2012",http://electad.com/video/barack-obama-campaign-rally-in-virginia-beach-virginia-september-27-2012/,F0XjAR72NAo,ID_60,Obama_20120927_speech1
Obama,2012-09-30,"Barack Obama Campaign Rally in Las Vegas, Nevada - September 30 2012",http://electad.com/video/barack-obama-campaign-rally-in-las-vegas-nevada-september-30-2012/,WWZmsEzCqw8,ID_57,Obama_20120930_speech1
Obama,2012-10-04,"Barack Obama Campaign Rally in Denver, Colorado - October 4 2012",http://electad.com/video/barack-obama-campaign-rally-in-denver-colorado-october-4-2012/,fyZFTnmxSMA,ID_55,Obama_20121004_speech1
Obama,2012-10-04,"Barack Obama Campaign Rally in Madison, Wisconsin - October 4 2012",http://electad.com/video/barack-obama-campaign-rally-in-madison-wisconsin-october-4-2012/,J3sKIOtHZBo,ID_54,Obama_20121004_speech2
Obama,2012-10-05,"Barack Obama Campaign Rally in Cleveland, Ohio - October 5 2012",http://electad.com/video/barack-obama-campaign-rally-in-cleveland-ohio-october-5-2012/,7EZ0ONUfDJQ,ID_50,Obama_20121005_speech1
Obama,2012-10-05,"Barack Obama Campaign Rally in Fairfax, Virginia - October 5 2012",http://electad.com/video/barack-obama-campaign-rally-in-fairfax-virginia-october-5-2012/,OIE2WkLMDZU,ID_52,Obama_20121005_speech2
Obama,2012-10-09,"Barack Obama Campaign Rally in Columbus, Ohio - October 9 2012",http://electad.com/video/barack-obama-campaign-rally-in-columbus-ohio-october-9-2012/,CMFjlBGnRZM,ID_46,Obama_20121009_speech1
Obama,2012-10-11,"Barack Obama Campaign Rally in Coral Gables, Florida  - October 11 2012",http://electad.com/video/barack-obama-campaign-rally-in-coral-gables-florida-october-11-2012/,eKEqtL0pCW4,ID_41,Obama_20121011_speech1
Obama,2012-10-17,"Barack Obama Campaign Rally in Athens, Ohio - October 17 2012",http://electad.com/video/barack-obama-campaign-rally-in-athens-ohio-october-17-2012/,GMsIYjho72U,ID_35,Obama_20121017_speech1
Obama,2012-10-17,"Barack Obama Campaign Rally in Mount Vernon, Iowa - October 17 2012",http://electad.com/video/barack-obama-campaign-rally-in-mount-vernon-iowa-october-17-2012/,GWY25RWf-kw,ID_37,Obama_20121017_speech2
